frame,time_s,torso_lean_deg,right_elbow_angle_deg,left_elbow_angle_deg,reason
465,18.6,-0.5647977607157781,75.30640470659549,72.7591918932236,left_elbow_too_bent
466,18.64,-0.4805759166246108,75.1367901046825,72.87304174738802,left_elbow_too_bent
571,22.84,0.6661322357962898,74.40449624552825,72.9885784432785,left_elbow_too_bent
577,23.08,0.2312759024163465,73.99048281638247,72.93581262551956,left_elbow_too_bent
578,23.12,0.12188418139152,74.01869376603723,72.89758401141339,left_elbow_too_bent
579,23.16,0.0511552734488951,74.0776368485572,72.76657765496789,left_elbow_too_bent
580,23.2,-0.0235593859766406,74.11946394975743,72.79328148440659,left_elbow_too_bent
581,23.24,-0.0986551291969186,74.05458705923408,72.9826570267437,left_elbow_too_bent
582,23.28,-0.1623803436633374,73.95154581175574,72.95903726240299,left_elbow_too_bent
583,23.32,-0.2279015742402487,73.81156991777965,72.90795802257706,left_elbow_too_bent
